"table_schema","table_name","column_name","data_type","character_maximum_length","numeric_precision","numeric_scale","is_nullable","column_default"
"public","verification","no_of_transcript","smallint",NULL,16,0,"YES",NULL
"public","verification","no_of_marksheet","smallint",NULL,16,0,"YES",NULL
"public","verification","no_of_degree","smallint",NULL,16,0,"YES",NULL
"public","verification","no_of_moi","smallint",NULL,16,0,"YES",NULL
"public","verification","no_of_backlog","smallint",NULL,16,0,"YES",NULL
"public","verification","pay_rec_no","character varying",255,NULL,NULL,"YES",NULL
"public","verification","status","character varying",255,NULL,NULL,"YES",NULL
"public","verification","final_no","character varying",255,NULL,NULL,"YES",NULL
"public","verification","mail_send_status","character varying",255,NULL,NULL,"YES",NULL
"public","verification","eca_required","boolean",NULL,NULL,NULL,"YES",NULL
"public","verification","vr_done_date","date",NULL,NULL,NULL,"YES",NULL
"public","verification","last_resubmit_date","date",NULL,NULL,NULL,"YES",NULL
"public","verification","last_resubmit_status","character varying",255,NULL,NULL,"YES",NULL
"public","verification","createdat","timestamp with time zone",NULL,NULL,NULL,"NO",NULL
"public","verification","updatedat","timestamp with time zone",NULL,NULL,NULL,"NO",NULL
"public","verification","doc_rec_id","character varying",20,NULL,NULL,"NO",NULL
"public","verification","enrollment_no","character varying",255,NULL,NULL,"YES",NULL
"public","verification","replaces_verification_id","bigint",NULL,64,0,"YES",NULL
"public","verification","second_enrollment_id","character varying",255,NULL,NULL,"YES",NULL
"public","verification","updatedby","integer",NULL,32,0,"YES",NULL
"public","verification","eca_name","character varying",255,NULL,NULL,"YES",NULL
"public","verification","eca_ref_no","character varying",255,NULL,NULL,"YES",NULL
"public","verification","eca_resubmit_date","date",NULL,NULL,NULL,"YES",NULL
"public","verification","eca_status","character varying",255,NULL,NULL,"YES","'NOT_SENT'::character varying"
"public","verification","eca_send_date","date",NULL,NULL,NULL,"YES",NULL
"public","verification","doc_rec_date","date",NULL,NULL,NULL,"NO",NULL
"public","verification","search_vector","tsvector",NULL,NULL,NULL,"YES",NULL
"public","verification","doc_remark","text",NULL,NULL,NULL,"YES",NULL
